country,order_value_EUR,cost,date,category,customer_name,sales_manager,sales_rep,device_type,order_id,refund
France,224626.25,189988.88,2020-07-21,Electronics,"Christiansen, Donnelly and Bechtelar",Othello Bowes,Ora Grennan,PC,69-1300467,91737.0
France,89369.0,72889.36,2020-02-01,Smartphones,"Swaniawski, Runolfsson and Green",Othello Bowes,Ora Grennan,PC,20-6735303,39762.0
France,65254.5,53919.79,2019-06-17,Games,"Rowe, Hermiston and Kessler",Othello Bowes,Maighdiln Upcraft,PC,91-6673445,25020.0
France,159926.16,126453.61,2020-12-09,Beauty,McGlynn-Prosacco,Othello Bowes,Ora Grennan,Mobile,44-0517932,79123.0
France,151855.04,129486.79,2019-01-16,Electronics,Considine-Fisher,Othello Bowes,Amelina Piscopiello,PC,54-1473475,74826.0
France,147055.1,126114.45,2019-04-15,Games,Friesen-Rath,Othello Bowes,Crysta Halls,PC,77-1100434,71722.0
France,132235.46,114132.43,2020-01-06,Books,"Zieme, Bailey and Herzog",Othello Bowes,Ora Grennan,PC,95-4388709,65666.0
France,88977.22,72534.23,2020-03-10,Books,Franecki-White,Othello Bowes,Ora Grennan,PC,58-1975365,39716.0
France,49664.17,39244.63,2019-10-30,Books,"Swaniawski, Runolfsson and Green",Othello Bowes,Amelina Piscopiello,PC,24-9702599,14926.0
France,128804.51,105709.86,2019-09-13,Appliances,Connelly-Mohr,Othello Bowes,Amelina Piscopiello,Tablet,20-3125420,64145.0
France,107499.78,91364.06,2019-02-26,Smartphones,"Rowe, Hermiston and Kessler",Othello Bowes,Amelina Piscopiello,PC,68-3583935,50464.0
France,140635.94,115194.9,2020-08-12,Smartphones,Johns and Sons,Othello Bowes,Amelina Piscopiello,PC,00-5823706,69729.0
France,214615.79,177637.49,2019-06-30,Games,"Bashirian, Okuneva and Bechtelar",Othello Bowes,Amelina Piscopiello,PC,17-5553034,91140.0
France,95966.17,75976.42,2019-08-24,Electronics,Littel-Blick,Othello Bowes,Amelina Piscopiello,PC,90-4449856,42816.0
France,268779.03,233676.49,2019-12-27,Smartphones,O'Connell-Mitchell,Othello Bowes,Ora Grennan,Mobile,13-0624842,96758.0
France,48850.38,39788.63,2019-03-31,Appliances,"Spencer, Rogahn and Muller",Othello Bowes,Crysta Halls,PC,33-6126082,14570.0
France,40043.11,35109.8,2020-07-09,Appliances,Romaguera-Haley,Othello Bowes,Ora Grennan,PC,58-8728288,9810.0
France,53089.52,44812.86,2019-08-24,Beauty,Goldner-Dibbert,Othello Bowes,Crysta Halls,PC,32-2114915,16528.0
France,87404.0,69363.81,2019-12-26,Electronics,Johns and Sons,Othello Bowes,Maighdiln Upcraft,PC,79-3154360,39239.0
France,167072.72,135044.88,2019-10-21,Clothing,O'Connell-Mitchell,Othello Bowes,Ora Grennan,PC,37-6449638,82995.0
France,157932.84,134148.15,2020-01-31,Games,"Schowalter, Lesch and Beahan",Othello Bowes,Amelina Piscopiello,PC,30-2982340,77652.0
France,69126.5,55902.6,2019-08-12,Electronics,"Farrell, Swaniawski and Crist",Othello Bowes,Avrit Chanders,PC,07-3201531,27600.0
France,140943.88,120633.87,2020-05-28,Appliances,Armstrong-Little,Othello Bowes,Avrit Chanders,Tablet,77-0650807,69762.0
France,124784.67,106853.11,2020-05-22,Electronics,"Swaniawski, Runolfsson and Green",Othello Bowes,Ora Grennan,Tablet,44-2757396,60614.0
France,64827.8,56043.63,2019-01-20,Appliances,Gislason-Stanton,Othello Bowes,Maighdiln Upcraft,PC,62-3312495,4974.0
